"Code";"Item";"Value"
"20181119-082648";"Tokens";10
"20181119-082648";"Scraps";43
"20181119-094506";"Tokens";5
"20181119-094506";"Scraps";33
"20181119-104308";"Tokens";10
"20181119-104308";"Scraps";53
"20181119-115514";"Tokens";8
"20181119-115514";"Scraps";50
"20181119-125609";"Tokens";9
"20181119-125609";"Scraps";56
"20181119-135746";"Tokens";5
"20181119-135746";"Scraps";25
"20181119-150450";"Tokens";8
"20181119-150450";"Scraps";29
"20181119-160711";"Tokens";6
"20181119-160711";"Scraps";34
"20181119-170935";"Tokens";9
"20181119-170935";"Scraps";28
"20181119-182829";"Tokens";12
"20181119-182829";"Scraps";42
"20181119-195919";"Tokens";8
"20181119-195919";"Scraps";42
"20181119-211748";"Tokens";9
"20181119-211748";"Scraps";37
"20181119-223735";"Tokens";7
"20181119-223735";"Scraps";24
"20181119-234047";"Tokens";11
"20181119-234047";"Scraps";40
"20181120-004328";"Tokens";13
"20181120-004328";"Scraps";35
"20181120-085944";"Tokens";11
"20181120-085944";"Scraps";29
"20181120-100140";"Tokens";11
"20181120-100140";"Scraps";49
"20181120-110304";"Tokens";8
"20181120-110304";"Scraps";20
"20181120-122410";"Tokens";14
"20181120-122410";"Scraps";27
"20181120-132537";"Tokens";13
"20181120-132537";"Scraps";52
"20181120-143146";"Tokens";9
"20181120-143146";"Scraps";55
"20181120-175127";"Tokens";9
"20181120-175127";"Scraps";52
"20181120-214206";"Tokens";5
"20181120-214206";"Scraps";32
"20181120-225030";"Tokens";8
"20181120-225030";"Scraps";42
"20181120-235211";"Tokens";14
"20181120-235211";"Scraps";26
"20181121-010323";"Tokens";9
"20181121-010323";"Scraps";21
"20181121-112517";"Tokens";12
"20181121-112517";"Scraps";45
"20181121-122847";"Tokens";13
"20181121-122847";"Scraps";44
"20181121-133953";"Tokens";6
"20181121-133953";"Scraps";59
"20181121-144122";"Tokens";12
"20181121-144122";"Scraps";47
"20181121-154237";"Tokens";8
"20181121-154237";"Scraps";44
"20181121-165806";"Tokens";11
"20181121-165806";"Scraps";43
"20181121-175911";"Tokens";14
"20181121-175911";"Scraps";49
"20181121-211205";"Tokens";6
"20181121-211205";"Scraps";21
"20181121-221643";"Tokens";9
"20181121-221643";"Scraps";27
"20181121-233103";"Tokens";10
"20181121-233103";"Scraps";29
"20181122-090413";"Tokens";8
"20181122-090413";"Scraps";42
"20181122-101422";"Tokens";7
"20181122-101422";"Scraps";20
"20181122-111621";"Tokens";5
"20181122-111621";"Scraps";57
"20181122-123537";"Tokens";5
"20181122-123537";"Scraps";52
"20181122-134124";"Tokens";14
"20181122-134124";"Scraps";33
"20181122-150106";"Tokens";6
"20181122-150106";"Scraps";51
"20181122-170659";"Tokens";13
"20181122-170659";"Scraps";56
"20181122-180946";"Tokens";6
"20181122-180946";"Scraps";48
"20181122-191729";"Tokens";11
"20181122-191729";"Scraps";27
"20181122-223415";"Tokens";13
"20181122-223415";"Scraps";43
"20181122-233558";"Tokens";10
"20181122-233558";"Scraps";36
"20181123-091803";"Tokens";11
"20181123-091803";"Scraps";39
"20181123-102446";"Tokens";14
"20181123-102446";"Scraps";58
"20181123-113051";"Tokens";8
"20181123-113051";"Scraps";49
"20181123-124032";"Tokens";12
"20181123-124032";"Scraps";33
"20181123-140537";"Tokens";8
"20181123-140537";"Scraps";33
"20181123-150653";"Tokens";10
"20181123-150653";"Scraps";38
"20181123-160941";"Tokens";13
"20181123-160941";"Scraps";59
"20181123-171118";"Tokens";10
"20181123-171118";"Scraps";51
"20181123-195027";"Tokens";13
"20181123-195027";"Scraps";56
"20181123-205215";"Tokens";11
"20181123-205215";"Scraps";31
"20181123-220222";"Tokens";10
"20181123-220222";"Scraps";57
"20181124-012651";"Tokens";5
"20181124-012651";"Scraps";38
"20181124-101313";"Tokens";9
"20181124-101313";"Scraps";24
"20181124-111935";"Tokens";11
"20181124-111935";"Scraps";39
"20181124-122504";"Tokens";9
"20181124-122504";"Scraps";39
"20181124-134827";"Tokens";12
"20181124-134827";"Scraps";33
"20181124-145346";"Tokens";5
"20181124-145346";"Scraps";44
"20181124-155635";"Tokens";9
"20181124-155635";"Scraps";53
"20181124-174634";"Tokens";9
"20181124-174634";"Scraps";55
"20181124-193841";"Tokens";12
"20181124-193841";"Scraps";47
"20181124-210706";"Tokens";9
"20181124-210706";"Scraps";29
"20181125-002444";"Tokens";8
"20181125-002444";"Scraps";40
"20181125-014137";"Tokens";7
"20181125-014137";"Scraps";30
"20181125-103832";"Tokens";14
"20181125-103832";"Scraps";40
"20181125-114114";"Tokens";5
"20181125-114114";"Scraps";20
"20181125-132932";"Tokens";7
"20181125-132932";"Scraps";57
"20181125-143644";"Tokens";12
"20181125-143644";"Scraps";27
"20181125-153925";"Tokens";10
"20181125-153925";"Scraps";34
"20181125-170006";"Tokens";13
"20181125-170006";"Scraps";38
"20181125-180330";"Tokens";10
"20181125-180330";"Scraps";55
"20181125-213218";"Tokens";6
"20181125-213218";"Scraps";41
"20181125-224146";"Tokens";7
"20181125-224146";"Scraps";20
"20181125-234551";"Tokens";12
"20181125-234551";"Scraps";46
"20181126-005156";"Tokens";11
"20181126-005156";"Scraps";41
"20181126-091025";"Tokens";5
"20181126-091025";"Scraps";44
"20181126-101337";"Tokens";5
"20181126-101337";"Scraps";49
"20181126-111513";"Tokens";12
"20181126-111513";"Scraps";22
"20181126-122953";"Tokens";13
"20181126-122953";"Scraps";55
